"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Total, field of study","Dollars","81","units ","0","v1001414655","1.19","4400","","","","0"
"2006/2007","Canada","2016A000011124","Education","Dollars","81","units ","0","v62427112","1.1","3373","","","","0"
"2006/2007","Canada","2016A000011124","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427121","1.2","3991","","","","0"
"2006/2007","Canada","2016A000011124","Humanities","Dollars","81","units ","0","v62427122","1.3","4336","","","","0"
"2006/2007","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427123","1.4","4041","","","","0"
"2006/2007","Canada","2016A000011124","Law","Dollars","81","units ","0","v62427124","1.5","7155","","","","0"
"2006/2007","Canada","2016A000011124","Business, management and public administration","Dollars","81","units ","0","v62427125","1.6","4195","","","","0"
"2006/2007","Canada","2016A000011124","Physical and life sciences and technologies","Dollars","81","units ","0","v62427126","1.7","4270","","","","0"
"2006/2007","Canada","2016A000011124","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427127","1.8","4650","","","","0"
"2006/2007","Canada","2016A000011124","Engineering","Dollars","81","units ","0","v62427128","1.9","4943","","","","0"
"2006/2007","Canada","2016A000011124","Architecture","Dollars","81","units ","0","v62427113","1.10","3839","","","","0"
"2006/2007","Canada","2016A000011124","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427114","1.11","3869","","","","0"
"2006/2007","Canada","2016A000011124","Medicine","Dollars","81","units ","0","v62427116","1.13","9659","","","","0"
"2006/2007","Canada","2016A000011124","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427120","1.17","4996","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, field of study","Dollars","81","units ","0","v1001414656","2.19","2633","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Education","Dollars","81","units ","0","v62427161","2.1","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427166","2.2","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Humanities","Dollars","81","units ","0","v62427167","2.3","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427168","2.4","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Business, management and public administration","Dollars","81","units ","0","v62427169","2.6","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Dollars","81","units ","0","v62427170","2.7","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427171","2.8","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Engineering","Dollars","81","units ","0","v62427172","2.9","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Medicine","Dollars","81","units ","0","v62427162","2.13","6250","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427165","2.17","2550","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Total, field of study","Dollars","81","units ","0","v1001414657","3.19","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Education","Dollars","81","units ","0","v62427173","3.1","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427180","3.2","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427182","3.4","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Business, management and public administration","Dollars","81","units ","0","v62427184","3.6","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Dollars","81","units ","0","v62427185","3.7","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427186","3.8","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Engineering","Dollars","81","units ","0","v62427187","3.9","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427179","3.17","4920","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, field of study","Dollars","81","units ","0","v1001414658","4.19","6422","","","","0"
"2006/2007","Nova Scotia","2016A000212","Education","Dollars","81","units ","0","v62427188","4.1","6685","","","","0"
"2006/2007","Nova Scotia","2016A000212","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427196","4.2","6010","","","","0"
"2006/2007","Nova Scotia","2016A000212","Humanities","Dollars","81","units ","0","v62427197","4.3","5930","","","","0"
"2006/2007","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427198","4.4","6130","","","","0"
"2006/2007","Nova Scotia","2016A000212","Law","Dollars","81","units ","0","v62427199","4.5","11666","","","","0"
"2006/2007","Nova Scotia","2016A000212","Business, management and public administration","Dollars","81","units ","0","v62427200","4.6","5980","","","","0"
"2006/2007","Nova Scotia","2016A000212","Physical and life sciences and technologies","Dollars","81","units ","0","v62427201","4.7","6241","","","","0"
"2006/2007","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427202","4.8","6730","","","","0"
"2006/2007","Nova Scotia","2016A000212","Engineering","Dollars","81","units ","0","v62427203","4.9","6693","","","","0"
"2006/2007","Nova Scotia","2016A000212","Architecture","Dollars","81","units ","0","v62427189","4.10","6300","","","","0"
"2006/2007","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427190","4.11","5500","","","","0"
"2006/2007","Nova Scotia","2016A000212","Medicine","Dollars","81","units ","0","v62427192","4.13","13818","","","","0"
"2006/2007","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427195","4.17","7044","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, field of study","Dollars","81","units ","0","v1001414659","5.19","5470","","","","0"
"2006/2007","New Brunswick","2016A000213","Education","Dollars","81","units ","0","v62427204","5.1","5088","","","","0"
"2006/2007","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427208","5.2","5723","","","","0"
"2006/2007","New Brunswick","2016A000213","Humanities","Dollars","81","units ","0","v62427209","5.3","5609","","","","0"
"2006/2007","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427210","5.4","5178","","","","0"
"2006/2007","New Brunswick","2016A000213","Law","Dollars","81","units ","0","v62427211","5.5","7218","","","","0"
"2006/2007","New Brunswick","2016A000213","Business, management and public administration","Dollars","81","units ","0","v62427212","5.6","5233","","","","0"
"2006/2007","New Brunswick","2016A000213","Physical and life sciences and technologies","Dollars","81","units ","0","v62427213","5.7","5645","","","","0"
"2006/2007","New Brunswick","2016A000213","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427214","5.8","5365","","","","0"
"2006/2007","New Brunswick","2016A000213","Engineering","Dollars","81","units ","0","v62427215","5.9","5804","","","","0"
"2006/2007","New Brunswick","2016A000213","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427205","5.11","4735","","","","0"
"2006/2007","New Brunswick","2016A000213","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427207","5.17","5421","","","","0"
"2006/2007","Quebec","2016A000224","Total, field of study","Dollars","81","units ","0","v1001414660","6.19","1932","","","","0"
"2006/2007","Quebec","2016A000224","Education","Dollars","81","units ","0","v62427216","6.1","1763","","","","0"
"2006/2007","Quebec","2016A000224","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427225","6.2","2131","","","","0"
"2006/2007","Quebec","2016A000224","Humanities","Dollars","81","units ","0","v62427226","6.3","2404","","","","0"
"2006/2007","Quebec","2016A000224","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427227","6.4","2028","","","","0"
"2006/2007","Quebec","2016A000224","Law","Dollars","81","units ","0","v62427228","6.5","1997","","","","0"
"2006/2007","Quebec","2016A000224","Business, management and public administration","Dollars","81","units ","0","v62427229","6.6","1739","","","","0"
"2006/2007","Quebec","2016A000224","Physical and life sciences and technologies","Dollars","81","units ","0","v62427230","6.7","2033","","","","0"
"2006/2007","Quebec","2016A000224","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427231","6.8","1820","","","","0"
"2006/2007","Quebec","2016A000224","Engineering","Dollars","81","units ","0","v62427232","6.9","1717","","","","0"
"2006/2007","Quebec","2016A000224","Architecture","Dollars","81","units ","0","v62427217","6.10","1838","","","","0"
"2006/2007","Quebec","2016A000224","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427218","6.11","1986","","","","0"
"2006/2007","Quebec","2016A000224","Medicine","Dollars","81","units ","0","v62427220","6.13","2523","","","","0"
"2006/2007","Quebec","2016A000224","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427224","6.17","1903","","","","0"
"2006/2007","Ontario","2016A000235","Total, field of study","Dollars","81","units ","0","v1001414661","7.19","5155","","","","0"
"2006/2007","Ontario","2016A000235","Education","Dollars","81","units ","0","v62427233","7.1","4550","","","","0"
"2006/2007","Ontario","2016A000235","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427242","7.2","4674","","","","0"
"2006/2007","Ontario","2016A000235","Humanities","Dollars","81","units ","0","v62427243","7.3","4431","","","","0"
"2006/2007","Ontario","2016A000235","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427244","7.4","4434","","","","0"
"2006/2007","Ontario","2016A000235","Law","Dollars","81","units ","0","v62427245","7.5","10476","","","","0"
"2006/2007","Ontario","2016A000235","Business, management and public administration","Dollars","81","units ","0","v62427246","7.6","5264","","","","0"
"2006/2007","Ontario","2016A000235","Physical and life sciences and technologies","Dollars","81","units ","0","v62427247","7.7","4421","","","","0"
"2006/2007","Ontario","2016A000235","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427248","7.8","5340","","","","0"
"2006/2007","Ontario","2016A000235","Engineering","Dollars","81","units ","0","v62427249","7.9","6768","","","","0"
"2006/2007","Ontario","2016A000235","Architecture","Dollars","81","units ","0","v62427234","7.10","5098","","","","0"
"2006/2007","Ontario","2016A000235","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427235","7.11","4386","","","","0"
"2006/2007","Ontario","2016A000235","Medicine","Dollars","81","units ","0","v62427237","7.13","15297","","","","0"
"2006/2007","Ontario","2016A000235","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427241","7.17","6343","","","","0"
"2006/2007","Manitoba","2016A000246","Total, field of study","Dollars","81","units ","0","v1001414662","8.19","3319","","","","0"
"2006/2007","Manitoba","2016A000246","Education","Dollars","81","units ","0","v62427250","8.1","2911","","","","0"
"2006/2007","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427258","8.2","3527","","","","0"
"2006/2007","Manitoba","2016A000246","Humanities","Dollars","81","units ","0","v62427259","8.3","3136","","","","0"
"2006/2007","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427260","8.4","2879","","","","0"
"2006/2007","Manitoba","2016A000246","Law","Dollars","81","units ","0","v62427261","8.5","7592","","","","0"
"2006/2007","Manitoba","2016A000246","Business, management and public administration","Dollars","81","units ","0","v62427262","8.6","3432","","","","0"
"2006/2007","Manitoba","2016A000246","Physical and life sciences and technologies","Dollars","81","units ","0","v62427263","8.7","3066","","","","0"
"2006/2007","Manitoba","2016A000246","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427264","8.8","3166","","","","0"
"2006/2007","Manitoba","2016A000246","Engineering","Dollars","81","units ","0","v62427265","8.9","4096","","","","0"
"2006/2007","Manitoba","2016A000246","Architecture","Dollars","81","units ","0","v62427251","8.10","3489","","","","0"
"2006/2007","Manitoba","2016A000246","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427252","8.11","3305","","","","0"
"2006/2007","Manitoba","2016A000246","Medicine","Dollars","81","units ","0","v62427254","8.13","6550","","","","0"
"2006/2007","Manitoba","2016A000246","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427257","8.17","2780","","","","0"
"2006/2007","Saskatchewan","2016A000247","Total, field of study","Dollars","81","units ","0","v1001414663","9.19","4774","","","","0"
"2006/2007","Saskatchewan","2016A000247","Education","Dollars","81","units ","0","v62427266","9.1","4481","","","","0"
"2006/2007","Saskatchewan","2016A000247","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427274","9.2","4410","","","","0"
"2006/2007","Saskatchewan","2016A000247","Humanities","Dollars","81","units ","0","v62427275","9.3","4410","","","","0"
"2006/2007","Saskatchewan","2016A000247","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427276","9.4","4409","","","","0"
"2006/2007","Saskatchewan","2016A000247","Law","Dollars","81","units ","0","v62427277","9.5","6840","","","","0"
"2006/2007","Saskatchewan","2016A000247","Business, management and public administration","Dollars","81","units ","0","v62427278","9.6","4963","","","","0"
"2006/2007","Saskatchewan","2016A000247","Physical and life sciences and technologies","Dollars","81","units ","0","v62427279","9.7","4474","","","","0"
"2006/2007","Saskatchewan","2016A000247","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427280","9.8","4462","","","","0"
"2006/2007","Saskatchewan","2016A000247","Engineering","Dollars","81","units ","0","v62427281","9.9","5222","","","","0"
"2006/2007","Saskatchewan","2016A000247","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427267","9.11","4524","","","","0"
"2006/2007","Saskatchewan","2016A000247","Medicine","Dollars","81","units ","0","v62427269","9.13","11036","","","","0"
"2006/2007","Saskatchewan","2016A000247","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427273","9.17","4524","","","","0"
"2006/2007","Alberta","2016A000248","Total, field of study","Dollars","81","units ","0","v1001414664","10.19","4763","","","","0"
"2006/2007","Alberta","2016A000248","Education","Dollars","81","units ","0","v62427129","10.1","4589","","","","0"
"2006/2007","Alberta","2016A000248","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427137","10.2","4435","","","","0"
"2006/2007","Alberta","2016A000248","Humanities","Dollars","81","units ","0","v62427138","10.3","4610","","","","0"
"2006/2007","Alberta","2016A000248","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427139","10.4","4644","","","","0"
"2006/2007","Alberta","2016A000248","Law","Dollars","81","units ","0","v62427140","10.5","9328","","","","0"
"2006/2007","Alberta","2016A000248","Business, management and public administration","Dollars","81","units ","0","v62427141","10.6","4532","","","","0"
"2006/2007","Alberta","2016A000248","Physical and life sciences and technologies","Dollars","81","units ","0","v62427142","10.7","4598","","","","0"
"2006/2007","Alberta","2016A000248","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427143","10.8","4562","","","","0"
"2006/2007","Alberta","2016A000248","Engineering","Dollars","81","units ","0","v62427144","10.9","4562","","","","0"
"2006/2007","Alberta","2016A000248","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427130","10.11","4415","","","","0"
"2006/2007","Alberta","2016A000248","Medicine","Dollars","81","units ","0","v62427132","10.13","11313","","","","0"
"2006/2007","Alberta","2016A000248","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427136","10.17","4562","","","","0"
"2006/2007","British Columbia","2016A000259","Total, field of study","Dollars","81","units ","0","v1001414665","11.19","4740","","","","0"
"2006/2007","British Columbia","2016A000259","Education","Dollars","81","units ","0","v62427145","11.1","4556","","","","0"
"2006/2007","British Columbia","2016A000259","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427153","11.2","4647","","","","0"
"2006/2007","British Columbia","2016A000259","Humanities","Dollars","81","units ","0","v62427154","11.3","4675","","","","0"
"2006/2007","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427155","11.4","4702","","","","0"
"2006/2007","British Columbia","2016A000259","Law","Dollars","81","units ","0","v62427156","11.5","7437","","","","0"
"2006/2007","British Columbia","2016A000259","Business, management and public administration","Dollars","81","units ","0","v62427157","11.6","4743","","","","0"
"2006/2007","British Columbia","2016A000259","Physical and life sciences and technologies","Dollars","81","units ","0","v62427158","11.7","4414","","","","0"
"2006/2007","British Columbia","2016A000259","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427159","11.8","4447","","","","0"
"2006/2007","British Columbia","2016A000259","Engineering","Dollars","81","units ","0","v62427160","11.9","4395","","","","0"
"2006/2007","British Columbia","2016A000259","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427147","11.11","4181","","","","0"
"2006/2007","British Columbia","2016A000259","Medicine","Dollars","81","units ","0","v62427149","11.13","10701","","","","0"
"2006/2007","British Columbia","2016A000259","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427152","11.17","5057","","","","0"
"2007/2008","Canada","2016A000011124","Total, field of study","Dollars","81","units ","0","v1001414655","1.19","4558","","","","0"
"2007/2008","Canada","2016A000011124","Education","Dollars","81","units ","0","v62427112","1.1","3545","","","","0"
"2007/2008","Canada","2016A000011124","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427121","1.2","4239","","","","0"
"2007/2008","Canada","2016A000011124","Humanities","Dollars","81","units ","0","v62427122","1.3","4342","","","","0"
"2007/2008","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427123","1.4","4165","","","","0"
"2007/2008","Canada","2016A000011124","Law","Dollars","81","units ","0","v62427124","1.5","7382","","","","0"
"2007/2008","Canada","2016A000011124","Business, management and public administration","Dollars","81","units ","0","v62427125","1.6","4637","","","","0"
"2007/2008","Canada","2016A000011124","Physical and life sciences and technologies","Dollars","81","units ","0","v62427126","1.7","4534","","","","0"
"2007/2008","Canada","2016A000011124","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427127","1.8","4746","","","","0"
"2007/2008","Canada","2016A000011124","Engineering","Dollars","81","units ","0","v62427128","1.9","5099","","","","0"
"2007/2008","Canada","2016A000011124","Architecture","Dollars","81","units ","0","v62427113","1.10","3999","","","","0"
"2007/2008","Canada","2016A000011124","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427114","1.11","4064","","","","0"
"2007/2008","Canada","2016A000011124","Dentistry","Dollars","81","units ","0","v62427115","1.12","12516","","","","0"
"2007/2008","Canada","2016A000011124","Medicine","Dollars","81","units ","0","v62427116","1.13","10029","","","","0"
"2007/2008","Canada","2016A000011124","Nursing","Dollars","81","units ","0","v62427117","1.14","4267","","","","0"
"2007/2008","Canada","2016A000011124","Pharmacy","Dollars","81","units ","0","v62427118","1.15","4215","","","","0"
"2007/2008","Canada","2016A000011124","Veterinary medicine","Dollars","81","units ","0","v62427119","1.16","4296","","","","0"
"2007/2008","Canada","2016A000011124","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427120","1.17","4400","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Total, field of study","Dollars","81","units ","0","v1001414656","2.19","2632","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Education","Dollars","81","units ","0","v62427161","2.1","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427166","2.2","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Humanities","Dollars","81","units ","0","v62427167","2.3","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427168","2.4","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Business, management and public administration","Dollars","81","units ","0","v62427169","2.6","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Dollars","81","units ","0","v62427170","2.7","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427171","2.8","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Engineering","Dollars","81","units ","0","v62427172","2.9","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Medicine","Dollars","81","units ","0","v62427162","2.13","6250","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Nursing","Dollars","81","units ","0","v62427163","2.14","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Pharmacy","Dollars","81","units ","0","v62427164","2.15","2550","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427165","2.17","2550","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Total, field of study","Dollars","81","units ","0","v1001414657","3.19","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Education","Dollars","81","units ","0","v62427173","3.1","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427180","3.2","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427182","3.4","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Business, management and public administration","Dollars","81","units ","0","v62427184","3.6","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Dollars","81","units ","0","v62427185","3.7","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427186","3.8","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Engineering","Dollars","81","units ","0","v62427187","3.9","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Nursing","Dollars","81","units ","0","v62427176","3.14","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Veterinary medicine","Dollars","81","units ","0","v62427178","3.16","8880","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427179","3.17","","..","","","0"
"2007/2008","Nova Scotia","2016A000212","Total, field of study","Dollars","81","units ","0","v1001414658","4.19","6110","","","","0"
"2007/2008","Nova Scotia","2016A000212","Education","Dollars","81","units ","0","v62427188","4.1","5901","","","","0"
"2007/2008","Nova Scotia","2016A000212","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427196","4.2","5615","","","","0"
"2007/2008","Nova Scotia","2016A000212","Humanities","Dollars","81","units ","0","v62427197","4.3","5617","","","","0"
"2007/2008","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427198","4.4","5764","","","","0"
"2007/2008","Nova Scotia","2016A000212","Law","Dollars","81","units ","0","v62427199","4.5","11491","","","","0"
"2007/2008","Nova Scotia","2016A000212","Business, management and public administration","Dollars","81","units ","0","v62427200","4.6","5617","","","","0"
"2007/2008","Nova Scotia","2016A000212","Physical and life sciences and technologies","Dollars","81","units ","0","v62427201","4.7","5937","","","","0"
"2007/2008","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427202","4.8","6019","","","","0"
"2007/2008","Nova Scotia","2016A000212","Engineering","Dollars","81","units ","0","v62427203","4.9","6284","","","","0"
"2007/2008","Nova Scotia","2016A000212","Architecture","Dollars","81","units ","0","v62427189","4.10","6130","","","","0"
"2007/2008","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427190","4.11","5429","","","","0"
"2007/2008","Nova Scotia","2016A000212","Dentistry","Dollars","81","units ","0","v62427191","4.12","13831","","","","0"
"2007/2008","Nova Scotia","2016A000212","Medicine","Dollars","81","units ","0","v62427192","4.13","13520","","","","0"
"2007/2008","Nova Scotia","2016A000212","Nursing","Dollars","81","units ","0","v62427193","4.14","6054","","","","0"
"2007/2008","Nova Scotia","2016A000212","Pharmacy","Dollars","81","units ","0","v62427194","4.15","8393","","","","0"
"2007/2008","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427195","4.17","6606","","","","0"
"2007/2008","New Brunswick","2016A000213","Total, field of study","Dollars","81","units ","0","v1001414659","5.19","5590","","","","0"
"2007/2008","New Brunswick","2016A000213","Education","Dollars","81","units ","0","v62427204","5.1","5266","","","","0"
"2007/2008","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427208","5.2","5968","","","","0"
"2007/2008","New Brunswick","2016A000213","Humanities","Dollars","81","units ","0","v62427209","5.3","5739","","","","0"
"2007/2008","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427210","5.4","5333","","","","0"
"2007/2008","New Brunswick","2016A000213","Law","Dollars","81","units ","0","v62427211","5.5","7821","","","","0"
"2007/2008","New Brunswick","2016A000213","Business, management and public administration","Dollars","81","units ","0","v62427212","5.6","5350","","","","0"
"2007/2008","New Brunswick","2016A000213","Physical and life sciences and technologies","Dollars","81","units ","0","v62427213","5.7","5804","","","","0"
"2007/2008","New Brunswick","2016A000213","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427214","5.8","5457","","","","0"
"2007/2008","New Brunswick","2016A000213","Engineering","Dollars","81","units ","0","v62427215","5.9","6183","","","","0"
"2007/2008","New Brunswick","2016A000213","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427205","5.11","5612","","","","0"
"2007/2008","New Brunswick","2016A000213","Nursing","Dollars","81","units ","0","v62427206","5.14","5211","","","","0"
"2007/2008","New Brunswick","2016A000213","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427207","5.17","5163","","","","0"
"2007/2008","Quebec","2016A000224","Total, field of study","Dollars","81","units ","0","v1001414660","6.19","2056","","","","0"
"2007/2008","Quebec","2016A000224","Education","Dollars","81","units ","0","v62427216","6.1","1879","","","","0"
"2007/2008","Quebec","2016A000224","Visual and performing arts, and communications technologies","Dollars","81","units ","0","v62427225","6.2","2254","","","","0"
"2007/2008","Quebec","2016A000224","Humanities","Dollars","81","units ","0","v62427226","6.3","2255","","","","0"
"2007/2008","Quebec","2016A000224","Social and behavioural sciences, and legal studies","Dollars","81","units ","0","v62427227","6.4","2195","","","","0"
"2007/2008","Quebec","2016A000224","Law","Dollars","81","units ","0","v62427228","6.5","2028","","","","0"
"2007/2008","Quebec","2016A000224","Business, management and public administration","Dollars","81","units ","0","v62427229","6.6","2006","","","","0"
"2007/2008","Quebec","2016A000224","Physical and life sciences and technologies","Dollars","81","units ","0","v62427230","6.7","2182","","","","0"
"2007/2008","Quebec","2016A000224","Mathematics, computer and information sciences","Dollars","81","units ","0","v62427231","6.8","1959","","","","0"
"2007/2008","Quebec","2016A000224","Engineering","Dollars","81","units ","0","v62427232","6.9","1828","","","","0"
"2007/2008","Quebec","2016A000224","Architecture","Dollars","81","units ","0","v62427217","6.10","1925","","","","0"
"2007/2008","Quebec","2016A000224","Agriculture, natural resources and conservation","Dollars","81","units ","0","v62427218","6.11","2096","","","","0"
"2007/2008","Quebec","2016A000224","Dentistry","Dollars","81","units ","0","v62427219","6.12","2735","","","","0"
"2007/2008","Quebec","2016A000224","Medicine","Dollars","81","units ","0","v62427220","6.13","2203","","","","0"
"2007/2008","Quebec","2016A000224","Nursing","Dollars","81","units ","0","v62427221","6.14","1822","","","","0"
"2007/2008","Quebec","2016A000224","Pharmacy","Dollars","81","units ","0","v62427222","6.15","1903","","","","0"
"2007/2008","Quebec","2016A000224","Veterinary medicine","Dollars","81","units ","0","v62427223","6.16","1905","","","","0"
"2007/2008","Quebec","2016A000224","Other health, parks, recreation and fitness","Dollars","81","units ","0","v62427224","6.17","2201","","","","0"
"2007/2008","Ontario","2016A000235","Total, field of study","Dollars","81","units ","0","v1001414661","7.19","5388","","","","0"
"2007/2008","Ontario","2016A000235","Education","Dollars","81","units ","0","v62427233","7.1","4936","","","","0"
